2026-03-03 10:33:59,828 | __main__ | INFO | Phase: feature matrix
2026-03-03 10:34:01,017 | src.pipeline_runtime.phases_baseline | INFO | Phase: baselines
2026-03-03 10:34:01,037 | projects.brazil_chik.cv_adapter | INFO | Brazil CV fold mode=thesis_strict thesis_strict=True folds=5
2026-03-03 10:34:01,062 | src.pipeline_runtime.phases_baseline | INFO | Baseline compute backend: nvidia_cuda
2026-03-03 10:34:01,074 | projects.brazil_chik.cv_adapter | INFO | Brazil CV fold mode=thesis_strict thesis_strict=True folds=5
2026-03-03 10:34:01,113 | projects.brazil_chik.cv_adapter | INFO | Brazil CV fold mode=thesis_strict thesis_strict=True folds=5
2026-03-03 10:34:07,329 | src.models.baselines.train_baselines | INFO | Trained 4 baseline models. Artifacts saved to /home/priyodip/chikungunya-early-warningV4-Brazil-/outputs/models/baselines
2026-03-03 10:34:08,520 | src.pipeline_runtime.phases_bayesian | INFO | Phase: bayesian
2026-03-03 10:34:08,550 | __main__ | INFO | Bayesian phase start: backend requested=auto, resolved=nvidia_cuda, sampling_backend=auto, convergence_failure_mode=warn
2026-03-03 10:34:10,151 | src.models.bayesian.hierarchical_model | INFO | Starting Bayesian JAX sampling: obs=15288, districts=147, times=104, n_covariates=5, chains=2, draws=200, tune=200, target_accept=0.850, max_treedepth=8, simplified_mode=False, progressbar=True
