parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_innov_s[DF, 2017-03-12 00:00:00]",0.004,0.958,-1.763,1.81,0.009,0.014,11007.0,4481.0,1.0
"z_innov_s[DF, 2017-03-19 00:00:00]",0.027,0.963,-1.681,1.901,0.008,0.015,13797.0,4127.0,1.0
"z_innov_s[DF, 2017-03-26 00:00:00]",-0.053,0.94,-1.713,1.784,0.009,0.014,10166.0,4516.0,1.0
"z_innov_s[DF, 2017-04-02 00:00:00]",-0.04,0.952,-1.788,1.718,0.009,0.013,10144.0,4750.0,1.0
"z_innov_s[DF, 2017-04-09 00:00:00]",0.007,0.95,-1.826,1.758,0.009,0.015,10135.0,4295.0,1.0
"z_innov_s[DF, 2017-04-16 00:00:00]",0.072,0.961,-1.704,1.879,0.009,0.013,10795.0,4729.0,1.0
"z_innov_s[DF, 2017-04-23 00:00:00]",0.065,0.956,-1.703,1.861,0.009,0.013,10288.0,4205.0,1.0
"z_innov_s[DF, 2017-04-30 00:00:00]",0.135,0.952,-1.663,1.941,0.009,0.013,10515.0,4358.0,1.0
"z_innov_s[DF, 2017-05-07 00:00:00]",0.139,0.942,-1.61,1.901,0.009,0.014,11407.0,4794.0,1.0
"z_innov_s[DF, 2017-05-14 00:00:00]",0.124,0.944,-1.686,1.898,0.01,0.013,9676.0,4422.0,1.0
"z_innov_s[DF, 2017-05-21 00:00:00]",0.05,0.937,-1.716,1.792,0.009,0.014,9870.0,4113.0,1.0
"z_innov_s[DF, 2017-05-28 00:00:00]",0.045,0.941,-1.692,1.821,0.009,0.015,10472.0,4200.0,1.0
"z_innov_s[DF, 2017-06-04 00:00:00]",-0.033,0.945,-1.751,1.819,0.009,0.014,10354.0,4391.0,1.0
"z_innov_s[DF, 2017-06-11 00:00:00]",-0.11,0.963,-1.868,1.771,0.01,0.014,10124.0,4326.0,1.0
"z_innov_s[DF, 2017-06-18 00:00:00]",-0.177,0.955,-1.885,1.669,0.009,0.014,11258.0,4071.0,1.0
"z_innov_s[DF, 2017-06-25 00:00:00]",-0.249,0.963,-2.119,1.545,0.009,0.013,10522.0,4336.0,1.0
"z_innov_s[DF, 2017-07-02 00:00:00]",-0.217,0.963,-2.039,1.587,0.009,0.014,11567.0,4133.0,1.0
"z_innov_s[DF, 2017-07-09 00:00:00]",-0.259,0.964,-2.027,1.535,0.009,0.013,11514.0,4496.0,1.0
"z_innov_s[DF, 2017-07-16 00:00:00]",-0.129,0.932,-1.931,1.581,0.01,0.014,9330.0,4512.0,1.0
"z_innov_s[DF, 2017-07-23 00:00:00]",-0.084,0.972,-1.943,1.706,0.009,0.015,10621.0,3936.0,1.0
"z_innov_s[DF, 2017-07-30 00:00:00]",-0.044,0.946,-1.814,1.781,0.009,0.014,10895.0,4410.0,1.0
"z_innov_s[DF, 2017-08-06 00:00:00]",0.045,0.943,-1.65,1.871,0.009,0.013,10145.0,4455.0,1.0
"z_innov_s[DF, 2017-08-13 00:00:00]",0.079,0.961,-1.728,1.838,0.009,0.014,11679.0,4506.0,1.0
"z_innov_s[DF, 2017-08-20 00:00:00]",0.121,0.95,-1.656,1.899,0.009,0.013,10500.0,4298.0,1.0
"z_innov_s[DF, 2017-08-27 00:00:00]",0.151,0.933,-1.536,1.987,0.009,0.014,11533.0,4360.0,1.0
"z_innov_s[DF, 2017-09-03 00:00:00]",0.163,0.955,-1.756,1.839,0.01,0.014,9874.0,4019.0,1.0
"z_innov_s[DF, 2017-09-10 00:00:00]",0.233,0.95,-1.418,2.144,0.009,0.014,11881.0,4601.0,1.0
"z_innov_s[DF, 2017-09-17 00:00:00]",0.164,0.95,-1.51,2.05,0.009,0.013,10265.0,4423.0,1.0
"z_innov_s[DF, 2017-09-24 00:00:00]",0.112,0.971,-1.671,1.984,0.009,0.014,12474.0,4282.0,1.0
"z_innov_s[DF, 2017-10-01 00:00:00]",0.232,0.988,-1.603,2.064,0.009,0.014,11260.0,4437.0,1.0
"z_innov_s[DF, 2017-10-08 00:00:00]",0.139,0.947,-1.683,1.886,0.009,0.014,10541.0,4217.0,1.0
"z_innov_s[DF, 2017-10-15 00:00:00]",-0.085,0.915,-1.751,1.682,0.008,0.016,12079.0,3855.0,1.0
"z_innov_s[DF, 2017-10-22 00:00:00]",-0.084,0.943,-1.894,1.652,0.009,0.013,10019.0,4789.0,1.0
"z_innov_s[DF, 2017-10-29 00:00:00]",-0.322,0.967,-2.063,1.53,0.01,0.013,10367.0,4412.0,1.0
"z_innov_s[DF, 2017-11-05 00:00:00]",-0.235,0.955,-2.003,1.567,0.008,0.015,12653.0,4285.0,1.0
"z_innov_s[DF, 2017-11-12 00:00:00]",-0.34,0.952,-2.041,1.513,0.009,0.013,10235.0,4226.0,1.0
"z_innov_s[DF, 2017-11-19 00:00:00]",-0.347,0.956,-2.09,1.481,0.009,0.014,10463.0,4128.0,1.0
"z_innov_s[DF, 2017-11-26 00:00:00]",-0.365,0.947,-2.089,1.443,0.009,0.014,11163.0,4316.0,1.0
"z_innov_s[DF, 2017-12-03 00:00:00]",-0.248,0.942,-1.879,1.648,0.009,0.013,11499.0,4448.0,1.0
"z_innov_s[DF, 2017-12-10 00:00:00]",-0.191,0.955,-1.93,1.602,0.008,0.013,12851.0,4500.0,1.0
"z_innov_s[DF, 2017-12-17 00:00:00]",-0.118,0.968,-1.894,1.704,0.009,0.014,12237.0,4699.0,1.0
"z_innov_s[DF, 2017-12-24 00:00:00]",-0.117,0.944,-1.995,1.58,0.009,0.015,10823.0,4013.0,1.0
"z_innov_s[DF, 2017-12-31 00:00:00]",-0.076,0.953,-1.884,1.675,0.009,0.014,10461.0,4372.0,1.0
"z_innov_s[DF, 2018-01-07 00:00:00]",-0.2,0.945,-1.951,1.599,0.008,0.013,12574.0,4496.0,1.0
"z_innov_s[DF, 2018-01-14 00:00:00]",-0.176,0.96,-2.019,1.603,0.009,0.014,10838.0,4625.0,1.0
"z_innov_s[DF, 2018-01-21 00:00:00]",-0.206,0.991,-2.028,1.663,0.009,0.013,12729.0,4170.0,1.0
"z_innov_s[DF, 2018-01-28 00:00:00]",-0.143,0.929,-1.929,1.565,0.009,0.015,11596.0,3836.0,1.0
"z_innov_s[DF, 2018-02-04 00:00:00]",-0.152,0.945,-1.975,1.556,0.008,0.013,12560.0,4494.0,1.0
"z_innov_s[DF, 2018-02-11 00:00:00]",-0.092,0.97,-1.885,1.728,0.009,0.015,11421.0,4255.0,1.0
"z_innov_s[DF, 2018-02-18 00:00:00]",-0.014,0.97,-1.797,1.802,0.009,0.015,12133.0,4360.0,1.0
"z_innov_s[DF, 2018-02-25 00:00:00]",-0.033,0.965,-1.797,1.774,0.009,0.014,11160.0,4243.0,1.0
"z_innov_s[DF, 2018-03-04 00:00:00]",-0.067,0.933,-1.816,1.679,0.009,0.012,10311.0,4570.0,1.0
"z_innov_s[DF, 2018-03-11 00:00:00]",-0.125,0.951,-1.865,1.673,0.009,0.014,11454.0,4350.0,1.0
"z_innov_s[DF, 2018-03-18 00:00:00]",-0.117,0.959,-1.836,1.722,0.009,0.015,10372.0,4222.0,1.0
"z_innov_s[DF, 2018-03-25 00:00:00]",-0.206,0.96,-2.035,1.549,0.009,0.014,10249.0,4654.0,1.0
"z_innov_s[DF, 2018-04-01 00:00:00]",-0.096,0.923,-1.898,1.56,0.009,0.012,11483.0,4754.0,1.0
"z_innov_s[DF, 2018-04-08 00:00:00]",-0.197,0.944,-1.97,1.568,0.009,0.015,11748.0,4178.0,1.0
"z_innov_s[DF, 2018-04-15 00:00:00]",-0.053,0.965,-1.913,1.7,0.009,0.014,11028.0,4318.0,1.0
"z_innov_s[DF, 2018-04-22 00:00:00]",0.016,0.964,-1.835,1.811,0.009,0.014,11507.0,4705.0,1.0
"z_innov_s[DF, 2018-04-29 00:00:00]",0.101,0.96,-1.725,1.878,0.009,0.014,10981.0,3955.0,1.0
"z_innov_s[DF, 2018-05-06 00:00:00]",0.114,0.943,-1.556,2.04,0.009,0.013,11059.0,4576.0,1.0
"z_innov_s[DF, 2018-05-13 00:00:00]",0.095,0.951,-1.675,1.903,0.009,0.014,11104.0,4478.0,1.0
"z_innov_s[DF, 2018-05-20 00:00:00]",0.038,0.943,-1.752,1.73,0.009,0.013,11945.0,4893.0,1.0
"z_innov_s[DF, 2018-05-27 00:00:00]",-0.072,0.976,-1.918,1.752,0.009,0.015,11028.0,4444.0,1.0
"z_innov_s[DF, 2018-06-03 00:00:00]",-0.027,0.95,-1.787,1.718,0.009,0.014,11253.0,4283.0,1.0
"z_innov_s[DF, 2018-06-10 00:00:00]",0.092,0.958,-1.882,1.775,0.009,0.014,11057.0,4519.0,1.0
"z_innov_s[DF, 2018-06-17 00:00:00]",0.219,0.954,-1.535,2.028,0.009,0.014,11379.0,4815.0,1.0
"z_innov_s[DF, 2018-06-24 00:00:00]",0.222,0.954,-1.539,2.003,0.009,0.013,10756.0,4349.0,1.0
"z_innov_s[DF, 2018-07-01 00:00:00]",0.265,0.955,-1.53,2.075,0.009,0.014,10898.0,4834.0,1.0
"z_innov_s[DF, 2018-07-08 00:00:00]",0.376,0.991,-1.47,2.225,0.009,0.014,11671.0,4499.0,1.0
"z_innov_s[DF, 2018-07-15 00:00:00]",0.305,0.951,-1.482,2.065,0.009,0.014,12100.0,4312.0,1.0
"z_innov_s[DF, 2018-07-22 00:00:00]",0.261,0.939,-1.553,1.988,0.009,0.014,10138.0,4036.0,1.0
"z_innov_s[DF, 2018-07-29 00:00:00]",0.324,0.947,-1.381,2.16,0.01,0.013,9411.0,4222.0,1.0
"z_innov_s[DF, 2018-08-05 00:00:00]",0.285,0.956,-1.511,2.097,0.009,0.014,10696.0,4165.0,1.0
"z_innov_s[DF, 2018-08-12 00:00:00]",0.308,0.93,-1.459,1.987,0.009,0.013,11541.0,4571.0,1.0
"z_innov_s[DF, 2018-08-19 00:00:00]",0.108,0.934,-1.593,1.906,0.009,0.013,10890.0,4459.0,1.0
"z_innov_s[DF, 2018-08-26 00:00:00]",0.108,0.934,-1.529,1.925,0.009,0.013,11089.0,4672.0,1.0
"z_innov_s[DF, 2018-09-02 00:00:00]",0.021,0.924,-1.737,1.705,0.009,0.013,10565.0,4466.0,1.0
"z_innov_s[DF, 2018-09-09 00:00:00]",-0.186,0.967,-1.964,1.686,0.009,0.013,11202.0,4561.0,1.0
"z_innov_s[DF, 2018-09-16 00:00:00]",-0.225,0.951,-2.028,1.503,0.009,0.016,11300.0,4388.0,1.0
"z_innov_s[DF, 2018-09-23 00:00:00]",-0.19,0.958,-2.102,1.521,0.009,0.013,10391.0,3989.0,1.0
"z_innov_s[DF, 2018-09-30 00:00:00]",-0.053,0.98,-1.892,1.775,0.009,0.016,11887.0,3911.0,1.0
"z_innov_s[DF, 2018-10-07 00:00:00]",0.047,0.959,-1.669,1.885,0.009,0.015,10728.0,4130.0,1.0
"z_innov_s[DF, 2018-10-14 00:00:00]",-0.004,0.968,-1.759,1.869,0.009,0.015,12356.0,4133.0,1.0
"z_innov_s[DF, 2018-10-21 00:00:00]",-0.07,0.965,-1.967,1.683,0.009,0.014,12700.0,4277.0,1.0
"z_innov_s[DF, 2018-10-28 00:00:00]",-0.072,0.944,-1.931,1.64,0.009,0.014,11012.0,4266.0,1.0
"z_innov_s[DF, 2018-11-04 00:00:00]",-0.042,0.961,-1.852,1.706,0.009,0.014,10393.0,4737.0,1.0
"z_innov_s[DF, 2018-11-11 00:00:00]",0.007,0.953,-1.809,1.779,0.009,0.013,11191.0,4505.0,1.0
"z_innov_s[DF, 2018-11-18 00:00:00]",-0.01,0.941,-1.851,1.682,0.009,0.014,10098.0,3874.0,1.0
"z_innov_s[DF, 2018-11-25 00:00:00]",-0.005,0.98,-1.817,1.832,0.009,0.014,11847.0,4929.0,1.0
"z_innov_s[DF, 2018-12-02 00:00:00]",0.096,0.96,-1.709,1.879,0.009,0.014,11491.0,4169.0,1.0
"z_innov_s[DF, 2018-12-09 00:00:00]",0.132,0.975,-1.677,1.965,0.009,0.013,12200.0,4733.0,1.0
"z_innov_s[DF, 2018-12-16 00:00:00]",0.222,0.975,-1.657,2.016,0.01,0.014,10509.0,4377.0,1.0
"z_innov_s[DF, 2018-12-23 00:00:00]",0.173,0.949,-1.608,1.986,0.009,0.013,10516.0,4808.0,1.0
"z_innov_s[DF, 2018-12-30 00:00:00]",0.282,0.96,-1.596,2.048,0.009,0.014,11704.0,4068.0,1.0
"z_innov_s[DF, 2019-01-06 00:00:00]",0.114,0.956,-1.667,1.945,0.008,0.015,12827.0,4529.0,1.0
"z_innov_s[DF, 2019-01-13 00:00:00]",0.124,0.955,-1.691,1.853,0.009,0.015,10348.0,4200.0,1.0
"z_innov_s[DF, 2019-01-20 00:00:00]",0.175,0.921,-1.485,1.983,0.009,0.013,11496.0,4229.0,1.0
"z_innov_s[DF, 2019-01-27 00:00:00]",0.228,0.952,-1.586,2.027,0.009,0.014,10161.0,4583.0,1.0
"z_innov_s[DF, 2019-02-03 00:00:00]",0.135,0.948,-1.638,1.959,0.009,0.016,10012.0,4150.0,1.0
"z_innov_s[DF, 2019-02-10 00:00:00]",0.159,0.934,-1.673,1.807,0.009,0.014,10844.0,3871.0,1.0
"z_innov_s[DF, 2019-02-17 00:00:00]",0.215,0.936,-1.594,1.913,0.009,0.014,11322.0,4276.0,1.0
"z_innov_s[DF, 2019-02-24 00:00:00]",0.139,0.941,-1.63,1.869,0.009,0.014,11601.0,3834.0,1.0
"z_innov_s[DF, 2019-03-03 00:00:00]",0.088,0.965,-1.761,1.831,0.009,0.015,11128.0,3923.0,1.0
"z_innov_s[DF, 2019-03-10 00:00:00]",0.101,0.95,-1.621,1.931,0.009,0.013,10908.0,4437.0,1.0
"z_innov_s[DF, 2019-03-17 00:00:00]",0.168,0.943,-1.615,1.905,0.009,0.013,10208.0,4918.0,1.0
"z_innov_s[DF, 2019-03-24 00:00:00]",0.091,0.952,-1.734,1.867,0.009,0.014,10504.0,4200.0,1.0
"z_innov_s[DF, 2019-03-31 00:00:00]",0.11,0.925,-1.609,1.823,0.01,0.012,8998.0,4676.0,1.0
"z_innov_s[DF, 2019-04-07 00:00:00]",0.055,0.953,-1.768,1.771,0.009,0.013,10884.0,4330.0,1.0
"z_innov_s[DF, 2019-04-14 00:00:00]",0.001,0.944,-1.761,1.762,0.008,0.015,12339.0,3781.0,1.0
"z_innov_s[DF, 2019-04-21 00:00:00]",0.039,0.935,-1.61,1.869,0.009,0.012,9848.0,4406.0,1.0
"z_innov_s[DF, 2019-04-28 00:00:00]",0.058,0.959,-1.724,1.85,0.009,0.015,10241.0,4701.0,1.0
"z_innov_s[DF, 2019-05-05 00:00:00]",0.042,0.955,-1.838,1.738,0.009,0.014,10477.0,4329.0,1.0
"z_innov_s[DF, 2019-05-12 00:00:00]",0.095,0.942,-1.702,1.798,0.009,0.013,10276.0,4846.0,1.0
"z_innov_s[DF, 2019-05-19 00:00:00]",0.091,0.945,-1.734,1.817,0.009,0.013,10740.0,4472.0,1.0
"z_innov_s[DF, 2019-05-26 00:00:00]",0.012,0.939,-1.678,1.849,0.009,0.014,11381.0,4366.0,1.0
"z_innov_s[DF, 2019-06-02 00:00:00]",-0.064,0.955,-1.777,1.724,0.01,0.013,9963.0,4682.0,1.0
"z_innov_s[DF, 2019-06-09 00:00:00]",-0.211,0.944,-1.949,1.593,0.009,0.012,11093.0,4744.0,1.0
"z_innov_s[DF, 2019-06-16 00:00:00]",-0.213,0.899,-1.899,1.485,0.008,0.013,11944.0,4401.0,1.0
"z_innov_s[DF, 2019-06-23 00:00:00]",-0.233,0.939,-1.97,1.538,0.009,0.013,10828.0,4478.0,1.0
"z_innov_s[DF, 2019-06-30 00:00:00]",-0.238,0.935,-1.937,1.547,0.009,0.014,11836.0,4138.0,1.0
"z_innov_s[DF, 2019-07-07 00:00:00]",-0.247,0.95,-1.998,1.519,0.009,0.012,10854.0,5037.0,1.0
"z_innov_s[DF, 2019-07-14 00:00:00]",-0.23,0.925,-1.982,1.499,0.009,0.013,10602.0,4500.0,1.0
"z_innov_s[DF, 2019-07-21 00:00:00]",-0.223,0.929,-1.954,1.514,0.009,0.014,9843.0,4136.0,1.0
"z_innov_s[DF, 2019-07-28 00:00:00]",-0.163,0.963,-2.016,1.58,0.009,0.013,11568.0,4735.0,1.0
"z_innov_s[DF, 2019-08-04 00:00:00]",-0.089,0.985,-1.925,1.767,0.009,0.015,10790.0,3875.0,1.0
"z_innov_s[DF, 2019-08-11 00:00:00]",-0.013,0.951,-1.836,1.716,0.009,0.014,10272.0,3994.0,1.0
"z_innov_s[DF, 2019-08-18 00:00:00]",-0.001,0.949,-1.769,1.812,0.009,0.014,12018.0,4150.0,1.0
"z_innov_s[DF, 2019-08-25 00:00:00]",0.032,0.976,-1.826,1.812,0.009,0.013,11476.0,5013.0,1.0
"z_innov_s[DF, 2019-09-01 00:00:00]",0.038,0.965,-1.786,1.846,0.009,0.013,10558.0,4330.0,1.0
"z_innov_s[DF, 2019-09-08 00:00:00]",-0.057,0.961,-1.868,1.752,0.009,0.014,11410.0,4106.0,1.0
"z_innov_s[DF, 2019-09-15 00:00:00]",-0.061,0.945,-1.905,1.649,0.009,0.013,10447.0,4530.0,1.0
"z_innov_s[DF, 2019-09-22 00:00:00]",-0.02,0.963,-1.903,1.751,0.009,0.014,11264.0,4008.0,1.0
"z_innov_s[DF, 2019-09-29 00:00:00]",0.081,0.949,-1.75,1.786,0.009,0.013,10940.0,4727.0,1.0
"z_innov_s[DF, 2019-10-06 00:00:00]",0.1,0.958,-1.695,1.887,0.01,0.014,9973.0,4078.0,1.0
"z_innov_s[DF, 2019-10-13 00:00:00]",0.154,0.957,-1.558,2.001,0.009,0.014,10725.0,4598.0,1.0
"z_innov_s[DF, 2019-10-20 00:00:00]",0.173,0.947,-1.513,2.022,0.009,0.013,11916.0,4803.0,1.0
"z_innov_s[DF, 2019-10-27 00:00:00]",0.04,0.934,-1.671,1.829,0.009,0.014,10795.0,4710.0,1.0
"z_innov_s[DF, 2019-11-03 00:00:00]",0.106,0.928,-1.64,1.826,0.009,0.014,10086.0,4084.0,1.0
"z_innov_s[DF, 2019-11-10 00:00:00]",0.154,0.947,-1.718,1.874,0.009,0.013,10424.0,4828.0,1.0
"z_innov_s[DF, 2019-11-17 00:00:00]",0.248,0.929,-1.449,2.035,0.009,0.014,10044.0,4219.0,1.0
"z_innov_s[DF, 2019-11-24 00:00:00]",0.241,0.929,-1.497,1.964,0.009,0.012,10831.0,4653.0,1.0
"z_innov_s[DF, 2019-12-01 00:00:00]",0.125,0.955,-1.681,1.89,0.009,0.013,10768.0,4678.0,1.0
"z_innov_s[DF, 2019-12-08 00:00:00]",0.306,0.967,-1.551,2.07,0.009,0.014,10469.0,4283.0,1.0
"z_innov_s[DF, 2019-12-15 00:00:00]",0.329,0.959,-1.44,2.132,0.009,0.013,12103.0,4630.0,1.0
"z_innov_s[DF, 2019-12-22 00:00:00]",0.432,0.941,-1.355,2.227,0.009,0.014,10251.0,4186.0,1.0
"z_innov_s[DF, 2019-12-29 00:00:00]",0.465,0.982,-1.358,2.313,0.01,0.015,10469.0,4056.0,1.0
"z_innov_s[DF, 2020-01-05 00:00:00]",0.493,0.947,-1.287,2.25,0.01,0.013,9523.0,4361.0,1.0
"z_innov_s[DF, 2020-01-12 00:00:00]",0.52,0.932,-1.216,2.305,0.01,0.013,8630.0,3675.0,1.0
"z_innov_s[DF, 2020-01-19 00:00:00]",0.43,0.938,-1.329,2.183,0.009,0.013,9932.0,4635.0,1.0
"z_innov_s[DF, 2020-01-26 00:00:00]",0.364,0.917,-1.292,2.153,0.009,0.012,10771.0,5005.0,1.0
"z_innov_s[DF, 2020-02-02 00:00:00]",0.186,0.942,-1.562,1.976,0.009,0.013,10598.0,4431.0,1.0
"z_innov_s[DF, 2020-02-09 00:00:00]",0.159,0.943,-1.608,1.975,0.009,0.014,11236.0,4560.0,1.0
"z_innov_s[DF, 2020-02-16 00:00:00]",0.082,0.962,-1.759,1.842,0.009,0.014,11490.0,4267.0,1.0
"z_innov_s[DF, 2020-02-23 00:00:00]",0.146,0.937,-1.681,1.827,0.009,0.014,11376.0,4477.0,1.0
"z_innov_s[DF, 2020-03-01 00:00:00]",0.119,0.924,-1.666,1.818,0.009,0.014,10869.0,4478.0,1.0
"z_innov_s[DF, 2020-03-08 00:00:00]",0.113,0.926,-1.722,1.767,0.009,0.013,9962.0,4553.0,1.0
"z_innov_s[DF, 2020-03-15 00:00:00]",0.038,0.97,-1.856,1.816,0.009,0.015,10695.0,4481.0,1.0
"z_innov_s[DF, 2020-03-22 00:00:00]",0.088,0.943,-1.652,1.912,0.009,0.014,11063.0,4590.0,1.0
"z_innov_s[DF, 2020-03-29 00:00:00]",0.12,0.974,-1.729,1.957,0.009,0.014,11708.0,4523.0,1.0
"z_innov_s[DF, 2020-04-05 00:00:00]",0.114,0.931,-1.636,1.83,0.009,0.014,10787.0,4405.0,1.0
"z_innov_s[DF, 2020-04-12 00:00:00]",0.102,0.939,-1.539,2.007,0.01,0.013,9529.0,4613.0,1.0
"z_innov_s[DF, 2020-04-19 00:00:00]",0.144,0.948,-1.627,1.869,0.009,0.014,10316.0,4429.0,1.0
"z_innov_s[DF, 2020-04-26 00:00:00]",0.157,0.972,-1.535,2.078,0.009,0.013,12162.0,4369.0,1.0
"z_innov_s[DF, 2020-05-03 00:00:00]",0.162,0.943,-1.58,1.897,0.009,0.013,10476.0,4414.0,1.0
"z_innov_s[DF, 2020-05-10 00:00:00]",0.078,0.939,-1.66,1.832,0.009,0.015,11700.0,4245.0,1.0
"z_innov_s[DF, 2020-05-17 00:00:00]",0.06,0.968,-1.625,1.977,0.01,0.015,10335.0,4146.0,1.0
"z_innov_s[DF, 2020-05-24 00:00:00]",0.08,0.941,-1.605,1.854,0.009,0.014,12010.0,4336.0,1.0
"z_innov_s[DF, 2020-05-31 00:00:00]",0.134,0.964,-1.684,1.877,0.01,0.014,9917.0,4215.0,1.0
"z_innov_s[DF, 2020-06-07 00:00:00]",0.094,0.948,-1.716,1.84,0.009,0.013,12190.0,4064.0,1.0
"z_innov_s[DF, 2020-06-14 00:00:00]",0.065,0.948,-1.79,1.753,0.009,0.014,12101.0,4330.0,1.0
"z_innov_s[DF, 2020-06-21 00:00:00]",0.032,0.972,-1.667,1.954,0.01,0.014,10054.0,4385.0,1.0
"z_innov_s[DF, 2020-06-28 00:00:00]",0.086,0.957,-1.714,1.891,0.009,0.014,10733.0,4031.0,1.0
"z_innov_s[DF, 2020-07-05 00:00:00]",0.248,0.943,-1.549,1.992,0.009,0.013,10201.0,4299.0,1.0
"z_innov_s[DF, 2020-07-12 00:00:00]",0.399,0.954,-1.356,2.201,0.009,0.013,11790.0,4550.0,1.0
"z_innov_s[DF, 2020-07-19 00:00:00]",0.541,0.958,-1.197,2.397,0.009,0.013,10692.0,4414.0,1.0
"z_innov_s[DF, 2020-07-26 00:00:00]",0.678,0.966,-1.083,2.546,0.01,0.014,9249.0,4299.0,1.0
"z_innov_s[DF, 2020-08-02 00:00:00]",-0.354,0.903,-2.021,1.384,0.009,0.013,10813.0,4432.0,1.0
"z_innov_s[DF, 2020-08-09 00:00:00]",-0.958,0.936,-2.735,0.756,0.009,0.012,11366.0,4937.0,1.0
"z_innov_s[DF, 2020-08-16 00:00:00]",-0.821,0.972,-2.637,0.991,0.009,0.015,10908.0,3960.0,1.0
"z_innov_s[DF, 2020-08-23 00:00:00]",-0.706,0.958,-2.587,1.047,0.01,0.015,9760.0,4053.0,1.0
"z_innov_s[DF, 2020-08-30 00:00:00]",-0.603,0.955,-2.386,1.235,0.01,0.014,9998.0,4486.0,1.0
"z_innov_s[DF, 2020-09-06 00:00:00]",-0.49,0.958,-2.281,1.316,0.009,0.016,10922.0,4496.0,1.0
"z_innov_s[DF, 2020-09-13 00:00:00]",-0.384,0.947,-2.098,1.408,0.009,0.014,10541.0,4288.0,1.0
"z_innov_s[DF, 2020-09-20 00:00:00]",-0.374,0.95,-2.173,1.378,0.009,0.013,11321.0,4328.0,1.0
"z_innov_s[DF, 2020-09-27 00:00:00]",-0.316,0.978,-2.159,1.508,0.009,0.014,11149.0,4872.0,1.0
"z_innov_s[DF, 2020-10-04 00:00:00]",-0.259,0.94,-2.058,1.469,0.009,0.013,11419.0,3550.0,1.0
"z_innov_s[DF, 2020-10-11 00:00:00]",-0.229,0.956,-1.999,1.599,0.01,0.013,8957.0,4529.0,1.0
"z_innov_s[DF, 2020-10-18 00:00:00]",-0.195,0.971,-2.052,1.61,0.009,0.015,12031.0,4173.0,1.0
"z_innov_s[DF, 2020-10-25 00:00:00]",-0.114,0.951,-1.943,1.596,0.009,0.013,11828.0,4319.0,1.0
"z_innov_s[DF, 2020-11-01 00:00:00]",-0.237,0.989,-2.082,1.607,0.009,0.015,11192.0,4288.0,1.0
"z_innov_s[DF, 2020-11-08 00:00:00]",-0.147,0.961,-2.01,1.632,0.009,0.014,10987.0,3975.0,1.0
"z_innov_s[DF, 2020-11-15 00:00:00]",-0.161,0.96,-2.046,1.573,0.009,0.014,11007.0,4241.0,1.0
"z_innov_s[DF, 2020-11-22 00:00:00]",-0.231,0.972,-1.952,1.664,0.01,0.014,9505.0,4399.0,1.0
"z_innov_s[DF, 2020-11-29 00:00:00]",-0.125,0.936,-1.867,1.676,0.009,0.014,11902.0,4004.0,1.0
"z_innov_s[DF, 2020-12-06 00:00:00]",-0.152,0.946,-1.935,1.612,0.008,0.014,14049.0,4377.0,1.0
"z_innov_s[DF, 2020-12-13 00:00:00]",-0.136,0.953,-1.949,1.672,0.009,0.015,11777.0,4518.0,1.0
"z_innov_s[DF, 2020-12-20 00:00:00]",-0.118,1.002,-1.944,1.862,0.01,0.015,10496.0,4327.0,1.0
"z_innov_s[DF, 2020-12-27 00:00:00]",-0.064,0.966,-1.835,1.741,0.009,0.014,12220.0,4292.0,1.0
"z_innov_s[ES, 2015-01-11 00:00:00]",-0.247,0.992,-1.988,1.705,0.011,0.014,8707.0,4188.0,1.0
"z_innov_s[ES, 2015-01-18 00:00:00]",-0.205,0.982,-2.076,1.581,0.009,0.014,11374.0,4065.0,1.0
"z_innov_s[ES, 2015-01-25 00:00:00]",-0.206,0.982,-2.066,1.617,0.009,0.014,11976.0,4764.0,1.0
"z_innov_s[ES, 2015-02-01 00:00:00]",-0.171,0.957,-2.012,1.573,0.009,0.015,10932.0,4234.0,1.0
"z_innov_s[ES, 2015-02-08 00:00:00]",-0.141,0.993,-1.992,1.766,0.01,0.015,9939.0,4190.0,1.0
"z_innov_s[ES, 2015-02-15 00:00:00]",-0.119,0.983,-1.965,1.688,0.01,0.014,10205.0,3886.0,1.0
"z_innov_s[ES, 2015-02-22 00:00:00]",-0.084,0.989,-1.996,1.748,0.01,0.014,10456.0,3951.0,1.0
"z_innov_s[ES, 2015-03-01 00:00:00]",-0.082,0.956,-1.79,1.811,0.009,0.014,10059.0,4577.0,1.0
"z_innov_s[ES, 2015-03-08 00:00:00]",-0.037,1.021,-1.937,1.898,0.01,0.015,10929.0,4307.0,1.0
"z_innov_s[ES, 2015-03-15 00:00:00]",-0.01,0.988,-1.889,1.823,0.009,0.014,11437.0,4329.0,1.0
"z_innov_s[ES, 2015-03-22 00:00:00]",0.019,0.987,-1.871,1.833,0.01,0.014,10528.0,4578.0,1.0
"z_innov_s[ES, 2015-03-29 00:00:00]",0.036,0.952,-1.646,1.914,0.009,0.014,11166.0,4757.0,1.0
"z_innov_s[ES, 2015-04-05 00:00:00]",0.066,1.0,-1.821,1.922,0.009,0.014,12009.0,4576.0,1.0
"z_innov_s[ES, 2015-04-12 00:00:00]",0.086,0.969,-1.706,1.892,0.009,0.015,11526.0,3724.0,1.0
