parameter,r_hat,ess_bulk
alpha_raw|Balneário Camboriú,1.0524926376743047,57.09803370799348
alpha_raw|Balsas,1.0577889511421588,39.32412212237274
alpha_raw|Barbalha,1.472656880864752,6.26657637244099
alpha_raw|Barreiras,1.3610040037236426,7.123456078959878
alpha_raw|Belford Roxo,1.814955276927241,4.630322851746552
alpha_raw|Belo Horizonte,1.699772641585262,4.824893981412275
alpha_raw|Boa Vista,1.0373137991970511,76.77828601775347
alpha_raw|Brasília,1.0540232659525794,61.10490019861938
alpha_raw|Brejo Santo,1.4375478539617863,6.5259984478532305
alpha_raw|Cabo Frio,1.8196991617297158,4.583998410312766
alpha_raw|Cabo de Santo Agostinho,1.0890561263347247,37.31335354441107
alpha_raw|Caicó,1.0883775395274433,23.529685597611024
alpha_raw|Camaragibe,1.0849302079158794,28.158282109239913
alpha_raw|Camaçari,1.4401843645226766,6.2908487207886825
alpha_raw|Campina Grande,1.1407126949572874,17.537682058255957
alpha_raw|Campinas,1.3004830895576607,7.88939705503819
alpha_raw|Campo Grande,1.1109814390592727,19.583794902491498
alpha_raw|Campo Novo do Parecis,1.0284555392373826,62.95063304258609
alpha_raw|Campos Sales,1.4925947738559655,6.029010287093674
alpha_raw|Campos dos Goytacazes,1.7664347620306295,4.6901288388204225
alpha_raw|Caruaru,1.0873466748021876,37.34157583630472
alpha_raw|Cascavel,1.0428793039935507,64.05173092193273
alpha_raw|Castanhal,1.233938106944667,10.160938580589745
alpha_raw|Caucaia,1.422343393851389,6.660957821358619
alpha_raw|Cerejeiras,1.034676651938465,60.56258371717278
alpha_raw|Conceição do Coité,1.2380500977106166,9.913824472512092
alpha_raw|Conselheiro Pena,1.8952591940759436,4.379559739415955
alpha_raw|Coronel Fabriciano,1.6823945579865238,4.878791301953292
alpha_raw|Corumbá,1.083292326352624,26.100081779315808
alpha_raw|Cuiabá,1.0212019601790014,58.33425001203318
alpha_raw|Estância,1.489446478570863,6.19700357795035
alpha_raw|Feira de Santana,1.475876955506483,6.237777546039762
alpha_raw|Florianópolis,1.0446711531352657,61.879953533053026
alpha_raw|Fortaleza,1.358680630344122,7.4572533276007675
alpha_raw|Foz do Iguaçu,1.0421152720349423,60.815584675415494
alpha_raw|Garanhuns,1.1176531322195704,21.45555730758209
alpha_raw|Goiânia,1.0471566844730127,74.67686425535017
alpha_raw|Governador Valadares,1.677838010332434,4.89826733158891
alpha_raw|Gravatá,1.0566614005657593,40.805084760357396
alpha_raw|Guanambi,1.3476491371393966,7.321603939576429
alpha_raw|Guarujá,1.2851290380605962,8.156064015314726
alpha_raw|Icapuí,1.4676973304853786,6.231488386411155
alpha_raw|Icó,1.4782644818007753,6.1896438905209035
alpha_raw|Igarassu,1.1275617267793856,18.9977914758396
alpha_raw|Ipatinga,1.6756919876983445,4.902144522028655
alpha_raw|Ipojuca,1.1089077857866467,27.083508309511014
alpha_raw|Irauçuba,1.4464904073616494,6.4432502123852835
alpha_raw|Itaberaba,1.2621916694101076,9.141361435791811
alpha_raw|Itaboraí,1.7884753662943582,4.648304339427075
alpha_raw|Itabuna,1.4333178375990618,6.640323685877155
alpha_raw|Itaperuna,1.8178352842668908,4.5956398466870425
alpha_raw|Jaboatão dos Guararapes,1.0499059553776176,41.87058591907106
alpha_raw|Ji-Paraná,1.0301762574196662,66.1802778303196
alpha_raw|João Pessoa,1.1073063986561833,24.651021851805904
alpha_raw|Juazeiro,1.2970799778044808,8.274343193094314
alpha_raw|Lauro de Freitas,1.2333444133506437,9.996215095556224
alpha_raw|Macaíba,1.0921295563378568,22.939429928432737
alpha_raw|Macaúbas,1.2900718487873144,8.418866948062865
alpha_raw|Maceió,1.0154011563915923,107.76372093768597
alpha_raw|Manaus,1.0342871136076794,71.64194058958333
alpha_raw|Mangaratiba,1.7710943077492793,4.725874259850978
alpha_raw|Maranguape,1.4613789163920394,6.2529816095906625
alpha_raw|Maricá,1.794683357777794,4.632616832723909
alpha_raw|Marituba,1.2312278126458491,10.27079988355672
alpha_raw|Massapê,1.4213386075905634,6.701739997949342
alpha_raw|Milagres,1.4831601348787036,6.093784973023501
alpha_raw|Montes Claros,1.7386358617577649,4.702357497281035
alpha_raw|Mossoró,1.1467514420494913,14.7701055351529
alpha_raw|Natal,1.1645320657324862,13.344293139270686
alpha_raw|Niterói,1.7961652292267025,4.633826903571838
alpha_raw|Nossa Senhora do Socorro,1.4780954183842456,6.286991230497437
alpha_raw|Nova Iguaçu,1.8174712499400034,4.595036177043245
alpha_raw|Ocara,1.437192603714108,6.572098268373239
alpha_raw|Olinda,1.05185279310649,44.475750132654255
alpha_raw|Palmares,1.0845992948773764,31.782490483580087
alpha_raw|Palmas,1.0654577744876896,42.138114666660364
alpha_raw|Parauapebas,1.2099534202084326,10.811523838728647
alpha_raw|Parnamirim,1.0839683188889628,23.596284719697774
alpha_raw|Paulista,1.0670567828276905,40.57543934728151
alpha_raw|Paulo Afonso,1.379882198539854,6.9361649988809555
alpha_raw|Petrolina,1.0473586750996513,45.826817090414565
alpha_raw|Picos,1.0854751081798288,26.70238589383778
alpha_raw|Porciúncula,1.808009259300837,4.618034646288426
alpha_raw|Porto Nacional,1.0791667248345556,44.28172065235033
alpha_raw|Porto Seguro,1.4328550062471628,6.393530706105335
alpha_raw|Porto Velho,1.0214780925507794,60.10612709923574
alpha_raw|Queimadas,1.2792581053233087,9.03301051459674
alpha_raw|Queimados,1.7713055548962915,4.72598892530088
alpha_raw|Quipapá,1.1505541147141252,15.440497702135735
alpha_raw|Quixeramobim,1.4695693258869655,6.170648416571454
alpha_raw|Quixeré,1.478516330759743,6.082962187692103
alpha_raw|Recife,1.239110834358593,9.88276326566642
alpha_raw|Reriutaba,1.470476930260645,6.199647727323113
alpha_raw|Resplendor,1.8729994910559578,4.401494018084714
alpha_raw|Riachão do Jacuípe,1.284630128012205,8.575015618782492
alpha_raw|Ribeira do Pombal,1.2340349379228508,10.063486576891558
alpha_raw|Ribeirão Preto,1.294953667505518,7.972933833406617
alpha_raw|Ribeirão das Neves,1.802193819073841,4.53813063980665
