group,n_parameters,r_hat_max,r_hat_p95,ess_min,ess_p05,ess_median,fail_rhat_count,fail_ess_count,rhat_threshold,ess_threshold
random_effects,296,1.0152074973046845,1.0111725246633423,171.074577061912,205.3134513123453,473.36094907499097,0,15,1.05,200.0
fixed_effects,5,1.0032306197720842,1.002761175318741,3037.56971837706,3043.478211565994,3213.6857341023237,0,0,1.05,200.0
temporal_state,13778,1.0101987840457252,1.006452656730814,376.85151250186965,469.25420034577246,2208.0408448481908,0,0,1.05,200.0
likelihood,1,1.0005710711262763,1.0005710711262763,7381.103496337282,7381.103496337282,7381.103496337282,0,0,1.05,200.0
other,13776,1.0086138022424156,1.0032053718783496,560.4430897066989,4666.999528762603,5611.477025286013,0,0,1.05,200.0
