model,accuracy,brier,positive_rate
poisson_regression,0.783740854832499,0.14580109574538141,0.20050116546548633
random_forest,0.8046235547920184,0.13852732167776763,0.24546530733359337
rule_based_threshold,0.7605095376321791,0.23949046236782087,0.44253724711945736
xgboost,0.8230940779795227,0.12547345378843308,0.26063139350585524
