timestamp_utc,elapsed_s,pid,cpu_pct,rss_mb,etime
2026-02-19T09:18:07Z,0,16868,0.0,14.08,00:00
2026-02-19T09:18:12Z,5,16868,12.5,228.20,00:05
2026-02-19T09:18:18Z,11,16868,98.7,679.19,00:11
2026-02-19T09:18:23Z,16,16868,20.9,1041.20,00:16
2026-02-19T09:18:28Z,21,16868,99.8,1047.20,00:21
2026-02-19T09:18:33Z,26,16868,99.4,1048.02,00:26
2026-02-19T09:18:38Z,31,16868,100.1,1048.41,00:31
2026-02-19T09:18:43Z,36,16868,99.9,1048.41,00:36
2026-02-19T09:18:48Z,41,16868,99.9,1048.41,00:41
2026-02-19T09:18:53Z,46,16868,99.4,1048.41,00:46
2026-02-19T09:18:58Z,51,16868,99.5,953.05,00:51
2026-02-19T09:19:03Z,56,16868,98.2,953.23,00:56
2026-02-19T09:19:08Z,61,16868,100.1,953.23,01:01
2026-02-19T09:19:13Z,66,16868,98.3,953.23,01:06
2026-02-19T09:19:18Z,71,16868,100.0,953.22,01:11
2026-02-19T09:19:23Z,76,16868,100.1,953.22,01:16
2026-02-19T09:19:28Z,81,16868,100.1,953.22,01:21
2026-02-19T09:19:33Z,86,16868,100.1,953.22,01:26
2026-02-19T09:19:38Z,91,16868,100.1,953.22,01:31
2026-02-19T09:19:43Z,96,16868,99.4,953.22,01:36
2026-02-19T09:19:48Z,101,16868,98.7,953.22,01:41
2026-02-19T09:19:53Z,106,16868,100.1,953.22,01:46
2026-02-19T09:19:58Z,111,16868,99.9,953.22,01:51
2026-02-19T09:20:03Z,116,16868,98.9,953.22,01:56
2026-02-19T09:20:08Z,121,16868,100.1,953.22,02:01
2026-02-19T09:20:13Z,126,16868,100.1,953.22,02:06
2026-02-19T09:20:18Z,131,16868,99.7,953.22,02:11
2026-02-19T09:20:24Z,136,16868,100.0,953.22,02:17
2026-02-19T09:20:29Z,142,16868,98.5,953.22,02:22
2026-02-19T09:20:34Z,147,16868,98.2,953.22,02:27
2026-02-19T09:20:39Z,152,16868,100.1,953.22,02:32
2026-02-19T09:20:44Z,157,16868,98.8,953.64,02:37
2026-02-19T09:20:49Z,162,16868,99.1,954.06,02:42
2026-02-19T09:20:54Z,167,16868,98.2,954.16,02:47
2026-02-19T09:20:59Z,172,16868,100.1,954.67,02:52
2026-02-19T09:21:04Z,177,16868,100.1,954.67,02:57
2026-02-19T09:21:09Z,182,16868,98.9,954.67,03:02
2026-02-19T09:21:14Z,187,16868,98.3,954.67,03:07
2026-02-19T09:21:19Z,192,16868,100.1,954.67,03:12
2026-02-19T09:21:24Z,197,16868,99.1,954.67,03:17
2026-02-19T09:21:29Z,202,16868,99.5,954.67,03:22
2026-02-19T09:21:34Z,207,16868,100.1,954.67,03:27
2026-02-19T09:21:39Z,212,16868,100.1,954.67,03:32
2026-02-19T09:21:44Z,217,16868,98.9,954.67,03:37
2026-02-19T09:21:49Z,222,16868,98.0,954.67,03:42
2026-02-19T09:21:54Z,227,16868,99.3,954.67,03:47
2026-02-19T09:21:59Z,232,16868,98.8,954.67,03:52
2026-02-19T09:22:04Z,237,16868,100.1,954.67,03:57
2026-02-19T09:22:09Z,242,16868,97.3,954.67,04:02
2026-02-19T09:22:14Z,247,16868,100.1,954.67,04:07
2026-02-19T09:22:19Z,252,16868,99.2,954.67,04:12
2026-02-19T09:22:25Z,257,16868,99.2,954.67,04:17
2026-02-19T09:22:30Z,263,16868,98.3,954.67,04:23
2026-02-19T09:22:35Z,268,16868,100.1,954.67,04:28
2026-02-19T09:22:40Z,273,16868,99.8,954.67,04:33
2026-02-19T09:22:45Z,278,16868,97.6,954.67,04:38
2026-02-19T09:22:50Z,283,16868,99.1,954.67,04:43
2026-02-19T09:22:55Z,288,16868,100.0,954.67,04:48
2026-02-19T09:23:00Z,293,16868,100.1,954.67,04:53
2026-02-19T09:23:05Z,298,16868,100.1,954.67,04:58
2026-02-19T09:23:10Z,303,16868,100.0,954.67,05:03
2026-02-19T09:23:15Z,308,16868,99.7,954.67,05:08
2026-02-19T09:23:20Z,313,16868,100.0,954.67,05:13
2026-02-19T09:23:25Z,318,16868,98.9,954.67,05:18
2026-02-19T09:23:30Z,323,16868,100.1,954.67,05:23
2026-02-19T09:23:35Z,328,16868,98.9,954.67,05:28
2026-02-19T09:23:40Z,333,16868,99.8,954.67,05:33
2026-02-19T09:23:45Z,338,16868,100.1,954.67,05:38
2026-02-19T09:23:50Z,343,16868,99.2,954.67,05:43
2026-02-19T09:23:55Z,348,16868,100.0,954.67,05:48
2026-02-19T09:24:00Z,353,16868,98.5,954.67,05:53
2026-02-19T09:24:05Z,358,16868,98.7,954.67,05:58
2026-02-19T09:24:10Z,363,16868,98.3,954.67,06:03
2026-02-19T09:24:15Z,368,16868,99.4,954.67,06:08
2026-02-19T09:24:20Z,373,16868,100.1,954.67,06:13
2026-02-19T09:24:25Z,378,16868,100.1,954.67,06:18
2026-02-19T09:30:46Z,0,16868,99.2,927.72,12:39
2026-02-19T09:30:51Z,5,16868,100.0,927.72,12:44
2026-02-19T09:30:56Z,10,16868,99.8,927.72,12:49
2026-02-19T09:31:01Z,15,16868,100.1,927.72,12:54
2026-02-19T09:31:06Z,20,16868,98.2,927.72,12:59
2026-02-19T09:31:11Z,25,16868,99.2,927.72,13:04
2026-02-19T09:31:16Z,30,16868,99.7,927.72,13:09
2026-02-19T09:31:21Z,35,16868,99.5,927.72,13:14
2026-02-19T09:31:26Z,40,16868,99.7,927.72,13:19
2026-02-19T09:31:31Z,45,16868,100.1,927.72,13:24
2026-02-19T09:31:36Z,50,16868,99.4,927.72,13:29
2026-02-19T09:31:42Z,56,16868,99.9,927.72,13:35
