cases_mean,cases_q05,cases_q95,risk_mean,risk_q05,risk_q95,threshold_cases,bayesian_risk
0.054576701812446116,0.029885364696383476,0.09092985093593597,0.05055358787253499,0.028748124837875366,0.08124137669801712,1.0,0.05055358787253499
0.04502528988942504,0.023875711485743523,0.07085828483104706,0.0422513566929847,0.02314739115536213,0.06484626233577728,1.0,0.0422513566929847
0.03607786442525685,0.019045768305659294,0.05925596505403519,0.034255291098728775,0.018578069284558296,0.054977573454380035,1.0,0.034255291098728775
0.029851928848773242,0.016330860555171967,0.0486990287899971,0.02857888130657375,0.015984009951353073,0.04576757550239563,1.0,0.02857888130657375
0.03523906346596777,0.0196742732077837,0.06086652725934982,0.033482906337827446,0.019175173714756966,0.0563536174595356,1.0,0.033482906337827446
0.033558687498793004,0.017270008102059364,0.05576283112168312,0.031969126706942914,0.016886623576283455,0.05194190889596939,1.0,0.031969126706942914
0.027596590342000127,0.014072014950215816,0.04688660055398941,0.026490870449692012,0.013816789723932743,0.044167131185531616,1.0,0.026490870449692012
0.0240697216456756,0.012140917591750622,0.039910633116960526,0.023233452816493808,0.011949353851377964,0.03790713846683502,1.0,0.023233452816493808
0.027413852736353873,0.013539988547563553,0.04653843864798546,0.026327158596366643,0.01330406591296196,0.04383806884288788,1.0,0.026327158596366643
0.025552293116226792,0.012837597168982029,0.04169974476099014,0.024614947092719375,0.01262330450117588,0.03952116519212723,1.0,0.024614947092719375
0.02494915987085551,0.013028032146394253,0.04139920696616173,0.024059352944605053,0.012808050028979778,0.03926274925470352,1.0,0.024059352944605053
0.024284709102474152,0.012364651076495647,0.04056214541196823,0.02343940367270261,0.01216631755232811,0.03850116208195686,1.0,0.02343940367270261
0.023797024016268552,0.012639190070331097,0.03799557313323021,0.022986547507345675,0.012431039474904537,0.03618888184428215,1.0,0.022986547507345675
0.02595589170139283,0.013348509557545185,0.04303901642560959,0.024985164141282438,0.013116329908370972,0.040735553950071335,1.0,0.024985164141282438
0.025064659961499272,0.013591637834906578,0.042996034026145935,0.02416081951651722,0.013352853246033192,0.0406760573387146,1.0,0.02416081951651722
0.02403661209344864,0.012703720480203629,0.041229795664548874,0.02319972944445908,0.012492166832089424,0.039115458726882935,1.0,0.02319972944445908
0.02089544375613332,0.0109152402728796,0.03551529347896576,0.02026873357780278,0.010760041885077953,0.03392133116722107,1.0,0.02026873357780278
0.02144897208828479,0.011348958127200603,0.03595081716775894,0.020781538581475616,0.011181832291185856,0.034324951469898224,1.0,0.020781538581475616
0.01987842918932438,0.010082054883241653,0.03375524654984474,0.01929911647923291,0.009948681108653545,0.03232072666287422,1.0,0.01929911647923291
0.01945352254156023,0.0099047115072608,0.03209403157234192,0.018903609578497706,0.009776448830962181,0.030787134543061256,1.0,0.018903609578497706
0.018775796790607275,0.009645804762840271,0.031978681683540344,0.01826050217449665,0.009524569846689701,0.030689511448144913,1.0,0.01826050217449665
0.019012932159937917,0.009518483653664589,0.03164764493703842,0.018491499485448003,0.00940028578042984,0.030374692752957344,1.0,0.018491499485448003
0.016212587079964577,0.00791647844016552,0.02777346409857273,0.015823840288445353,0.00783430878072977,0.02678702399134636,1.0,0.015823840288445353
0.015189328089822084,0.007252697367221117,0.026966046541929245,0.014844845874235034,0.007183460984379053,0.02603982947766781,1.0,0.014844845874235034
0.014121603508945554,0.006363298278301954,0.025091104209423065,0.0138216163944453,0.006310103926807642,0.024286489933729172,1.0,0.0138216163944453
0.015332745837979018,0.0071445368230342865,0.02893901616334915,0.014975203783251345,0.007077968679368496,0.02786988765001297,1.0,0.014975203783251345
0.01079668350238353,0.004759188275784254,0.019255677238106728,0.010618482608813793,0.004729525651782751,0.018777886405587196,1.0,0.010618482608813793
0.011086752875242382,0.005079532507807016,0.018891161307692528,0.010899039594456553,0.005045599304139614,0.018431879580020905,1.0,0.010899039594456553
0.011111990189179778,0.005129669792950153,0.020475512370467186,0.010922628219705076,0.0050951531156897545,0.019933920353651047,1.0,0.010922628219705076
0.011457518960349262,0.005126124247908592,0.020899154245853424,0.011256467168219387,0.005091682076454163,0.02033989131450653,1.0,0.011256467168219387
0.007942136253230274,0.0034098762553185225,0.01452362909913063,0.007845031977863983,0.0033945387694984674,0.014250282198190689,1.0,0.007845031977863983
0.008538221386726946,0.0037635178305208683,0.015428220853209496,0.008425298981601373,0.003744872286915779,0.015121369622647762,1.0,0.008425298981601373
0.009410055329557509,0.003973264712840319,0.016911141574382782,0.009272754731122405,0.003952623810619116,0.01654207333922386,1.0,0.009272754731122405
0.010544948625611141,0.004492820706218481,0.019007040187716484,0.010369852910982445,0.004466248210519552,0.018541833385825157,1.0,0.010369852910982445
0.011338830765802414,0.004991897847503424,0.020517542958259583,0.011138290521688759,0.004959207493811846,0.01997447945177555,1.0,0.011138290521688759
0.01002927119564265,0.0041451421566307545,0.018227458000183105,0.00987167171528563,0.00412230147048831,0.017800437286496162,1.0,0.00987167171528563
0.011241592647973447,0.0049231210723519325,0.021836597472429276,0.011043557387776673,0.004891309421509504,0.021222395822405815,1.0,0.011043557387776673
0.011411931434180587,0.004942185245454311,0.02119390107691288,0.011205678775906563,0.004910104908049107,0.020614875480532646,1.0,0.011205678775906563
0.01299890195671469,0.0060395849868655205,0.025317324325442314,0.012733818823006005,0.00599193200469017,0.02449546754360199,1.0,0.012733818823006005
0.013733665250707417,0.006440410856157541,0.02459464780986309,0.013443621169310064,0.006386448163539171,0.023824485018849373,1.0,0.013443621169310064
0.01598002477642149,0.007735473569482565,0.028078852221369743,0.015597661389037967,0.007657379377633333,0.027070043608546257,1.0,0.015597661389037967
0.01743748662341386,0.00848816055804491,0.029532415792346,0.016986778354272248,0.008394190110266209,0.028418269008398056,1.0,0.016986778354272248
