run_id,date,district,risk_score,risk_mean,risk_q05,risk_q95,threshold_cases,risk_score_basis,decision_threshold_used,decision_cost,decision_loss,alert_threshold_yellow,alert_threshold_orange,alert_threshold_red,decision_policy_version,alert_level,recommended_action
20260307T103513Z-87041b65,2015-08-09,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-08-16,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-08-23,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-08-30,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-09-06,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-09-13,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-09-20,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-09-27,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-10-04,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-10-11,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-10-18,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-10-25,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-11-01,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
20260307T103513Z-87041b65,2015-11-08,Aimorés,0.0,0.0,0.0,0.0,1.0,bayesian_oof_risk_mean,0.05,0.2,1.0,0.3,0.5,0.7,v1,NO_ACTION,0
