model,accuracy,precision,recall,f1,kappa,false_alarm_rate,roc_auc,pr_auc,lead_time_mean,lead_time_utility
rule_based_threshold,0.7591055560980373,0.5414291003332099,0.8582159624413146,0.6639727582292849,0.4908039506313838,0.2789262712246093,0.7896448456083528,0.5039821733492627,1.4752760441670667,1.3634181469035045
poisson_regression,0.7778211763174169,0.8650862068965517,0.23556338028169013,0.3702952029520295,0.28547881306904577,0.014097194072873034,0.8355339305118646,0.6928309782607016,0.5213634181469035,0.3965434469515122
random_forest,0.7980991439638057,0.7875403325887317,0.37241784037558684,0.5056976651526018,0.3986067388750324,0.03855334864657929,0.8256828054154167,0.691597734468443,0.7988478156505041,0.599135861737878
xgboost,0.8124857598541809,0.7429980623568786,0.4950704225352113,0.5942100443755723,0.47856450964198805,0.06571184074224204,0.8475254475402912,0.7245564139863,1.1608257321171387,0.914066250600096
