parameter,r_hat,ess_bulk
alpha_district|Caucaia,1.0064925548450199,820.2407730188353
alpha_district|Cerejeiras,1.0013306463382519,3444.723484433346
alpha_district|Conceição do Coité,1.0057830851498015,688.4650902747603
alpha_district|Conselheiro Pena,1.0002627056403088,1180.6324554346138
alpha_district|Coronel Fabriciano,1.0003490545295786,1183.6016441903453
alpha_district|Corumbá,1.0008646881337049,2934.306176366447
alpha_district|Cuiabá,1.0008417900582938,5561.926672154758
alpha_district|Estância,1.001679522179684,2772.664098644803
alpha_district|Feira de Santana,1.0052228525014808,676.1760279332755
alpha_district|Florianópolis,1.0010478897550792,4850.067154041376
alpha_district|Fortaleza,1.0065162094226958,806.9929337982591
alpha_district|Foz do Iguaçu,1.0005989197825609,4445.577839746636
alpha_district|Garanhuns,1.0035759695449342,795.3391970476229
alpha_district|Goiânia,1.0006346436887736,8425.749615428145
alpha_district|Governador Valadares,1.000299563011003,1207.4936345114
alpha_district|Gravatá,1.003688844201084,782.7260805838572
alpha_district|Guanambi,1.0060980272612785,679.1449629917296
alpha_district|Guarujá,1.0005269180471479,1645.52117239231
alpha_district|Icapuí,1.006508681892933,792.5813525376946
alpha_district|Icó,1.0067045784222957,826.5757070343993
alpha_district|Igarassu,1.003698439061234,796.0628494501517
alpha_district|Ipatinga,1.0002907425976895,1150.872526336429
alpha_district|Ipojuca,1.0037021485895623,781.2833781344718
alpha_district|Irauçuba,1.0063637412109243,819.7357747548816
alpha_district|Itaberaba,1.005028789299104,692.2791395956805
alpha_district|Itaboraí,1.0129389488245104,631.2157838272949
alpha_district|Itabuna,1.0057472532242562,668.9646306089413
alpha_district|Itaperuna,1.0124882620771885,687.1877808355032
alpha_district|Jaboatão dos Guararapes,1.0039912404235891,776.4008163603368
alpha_district|Ji-Paraná,1.0020677033245018,3574.903800498561
alpha_district|João Pessoa,1.0014701503139294,2370.2603028406775
alpha_district|Juazeiro,1.0056813921549013,682.6658642139387
alpha_district|Lauro de Freitas,1.0056356915992057,693.8197567021754
alpha_district|Macaíba,1.0020178256146282,1984.6428433312683
alpha_district|Macaúbas,1.0054377356390762,709.5983834985009
alpha_district|Maceió,1.0006523338962137,7926.9396298595875
alpha_district|Manaus,1.0000768371509543,9450.33538725962
alpha_district|Mangaratiba,1.012074016712177,677.3846043482612
alpha_district|Maranguape,1.0066832568772663,804.2102661510797
alpha_district|Maricá,1.0125194784329294,649.0893824338514
alpha_district|Marituba,1.0008153975509357,2419.722975202916
alpha_district|Massapê,1.0066946172278701,797.1712869798912
alpha_district|Milagres,1.0074409743002153,798.9717656538037
alpha_district|Montes Claros,1.0002951940476352,1179.922301158354
alpha_district|Mossoró,1.0027205120179674,1953.521514312782
alpha_district|Natal,1.0026702428633465,1948.2014348467121
alpha_district|Niterói,1.012376494779157,675.3349811852344
alpha_district|Nossa Senhora do Socorro,1.0012457151887486,2762.093602014518
alpha_district|Nova Iguaçu,1.0131019679300566,672.7308805609574
alpha_district|Ocara,1.0064943239903723,827.2794321448145
alpha_district|Olinda,1.0038516611616493,784.5369793033464
alpha_district|Palmares,1.0038476673282826,781.8078627536793
alpha_district|Palmas,1.0015743715728067,3857.222894768604
alpha_district|Parauapebas,1.0011608195416504,2426.1544317127605
alpha_district|Parnamirim,1.0024064945350446,1978.5421238144083
alpha_district|Paulista,1.0040420736721292,781.8349995937006
alpha_district|Paulo Afonso,1.0053056895912977,697.1694745495982
alpha_district|Petrolina,1.0037438191131538,797.8340205021965
alpha_district|Picos,1.0001789415566944,5596.441553357762
alpha_district|Porciúncula,1.0112903909329043,704.3042679595001
alpha_district|Porto Nacional,1.0014846505961745,3878.632455396328
alpha_district|Porto Seguro,1.0053594294868757,695.2047174239508
