group,n_parameters,r_hat_max,r_hat_p95,ess_min,ess_p05,ess_median,fail_rhat_count,fail_ess_count,rhat_threshold,ess_threshold
random_effects,296,1.0150712989456314,1.0123885937311248,358.47334944698696,412.4340539586018,807.6059516241183,0,0,1.05,200.0
fixed_effects,5,1.0019814964826612,1.0018192484336048,6369.216558668167,6405.299292139079,6641.601075215676,0,0,1.05,200.0
temporal_state,13778,1.0116758420622258,1.0053433434077033,762.4179572999142,979.1463888797239,4563.797102934949,0,0,1.05,200.0
likelihood,1,1.0010241548811847,1.0010241548811847,10908.054429698379,10908.054429698379,10908.054429698379,0,0,1.05,200.0
other,13776,1.0074605168431001,1.002351551590284,1119.0293114630103,9290.640546772445,10911.173990575908,0,0,1.05,200.0
